id,cancel_pol,room_cat,Family_Friendly,Pets_Allowed,Smoking_Allowed,Events_Allowed,rev_rating,rev_acc,rev_clean,rev_check,rev_comm,rev_loc,rev_val,host_responsetime,host_response_rate,host_is_superhost,host_listings_count,property_type,accommodates,bathrooms,bedrooms,beds,security_deposit,cleaning_fee,guests_included,extra_people,number_of_reviews,review_scores_value,reviews_per_month,len_desc,len_experiences,len_summary,len_rules,NearbyAssault,NearbyBikeShare,NearbyClassASexOffenders,NearbyGunShots,NearbyHomicide,NearbyMetros,NearbyMuseums,NearbySexCrime,NearbySexOffenders,Closest_BikeShare,Closest_Metro,Closest_Museum,Closest_SexCrime,Closest_SexOffender,Closest_Arson,Closest_Assault,Closest_GunShot,Closest_Homicide,Closest_ClassA_SexOffender,AvgNightlyPrice,AvgNightlyAdjusted_price,MinNightlyprice,MinNightlyAdjusted_price,MaxNightlyprice,MaxNightlyAdjusted_price,Basic_Amenities,deluxe_amenities,Total_Amenities
2950354,0,2,0,0,0,0,100,10,8,10,10,10,9,3,1,1,4,Townhouse,1,1,1,1,,10,1,0,7,9,0.12,1000,4,,,2,2,1,,,,,1,3,0.4078,1.4214,0.5859,0.4799,0.3891,4.9036,0.3342,2.224,0.8614,0.3891,$60.00,$60.00,$60.00,$60.00,$60.00,$60.00,3,1,10
2964999,0,2,1,1,0,1,95,9,8,10,10,10,10,4,0.96,0,18,Townhouse,2,2,1,1,0,70,1,15,12,10,0.25,1000,4,508,38,30,16,4,4,,3,6,4,20,0.0807,0.3956,0.2082,0.1645,0.1339,3.1453,0.1105,0.4446,0.6107,0.2035,$76.64,$76.64,$62.00,$62.00,$80.00,$80.00,4,2,12
2965499,3,3,0,0,0,0,99,10,10,10,10,10,10,4,1,1,1,Apartment,2,1,1,1,0,75,2,50,16,10,0.75,875,4,345,,3,2,4,,1,,,1,10,0.1743,1.1576,0.7928,0.1422,0.0762,5.0437,0.1962,1.9244,0.377,0.2886,$116.29,$116.29,$75.00,$75.00,$132.00,$132.00,4,3,13
2966455,3,3,1,0,0,0,95,9,10,10,10,10,9,4,1,0,17,Serviced apartment,5,2,2,4,500,,3,15,38,9,0.67,1000,4,249,213,10,11,3,,,,2,3,12,0.0638,0.5005,0.3848,0.1131,0.1625,3.8761,0.163,1.6019,1.0486,0.1625,$384.86,$384.86,$375.00,$375.00,$585.00,$585.00,4,4,18
2966759,4,2,0,0,0,0,91,9,9,10,9,10,9,4,1,0,17,Aparthotel,2,2,1,1,,,1,0,11,9,0.19,1000,4,500,161,11,11,3,,,1,1,3,13,0.0604,0.4876,0.4087,0.0889,0.1446,3.8744,0.145,1.6106,1.0498,0.1446,$308.37,$308.37,$300.00,$300.00,$535.00,$535.00,4,4,16
2969041,0,3,0,0,0,0,100,10,10,10,10,10,10,4,1,1,1,Guest suite,4,1,1,1,100,20,1,0,15,10,3.85,1000,4,272,6,3,3,6,,,2,,,12,0.209,0.2289,2.0397,0.5568,0.0375,5.5568,0.1803,0.7169,1.1223,0.0375,$82.61,$82.61,$80.00,$80.00,$85.00,$85.00,3,1,9
2974412,3,3,1,1,0,0,89,10,9,10,10,9,9,0,,0,1,House,4,2,3,2,,50,4,0,13,9,0.26,1000,4,304,27,24,6,14,20,,1,,2,21,0.1319,0.3848,0.9052,0.4043,0.0738,1.7704,0.0091,0.0703,0.78,0.0738,$155.28,$155.28,$155.00,$155.00,$156.00,$156.00,4,2,14
2984386,4,3,1,0,0,0,100,10,10,10,10,10,10,0,,0,1,House,4,2,2,3,1000,,1,0,4,10,0.09,1000,4,250,74,3,5,2,,,,2,2,7,0.2111,1.0757,0.2152,0.2941,0.1057,4.408,0.307,1.9064,1.2728,0.319,$300.00,$300.00,$300.00,$300.00,$300.00,$300.00,4,2,11
2987397,0,2,0,0,0,0,100,10,9,10,10,8,9,0,,0,4,House,2,2,1,1,100,90,1,20,2,9,0.04,1000,4,316,48,15,1,8,30,3,,,,15,0.0131,1.2972,3.3594,0.5655,0.0577,1.4744,0.0297,0.0305,0.4078,0.0577,$57.78,$57.78,$45.00,$45.00,$79.00,$79.00,4,3,14
3011894,3,2,1,0,0,0,93,10,9,9,10,10,9,0,,0,1,Boutique hotel,1,1,2,1,500,100,2,25,4,9,0.08,1000,4,256,99,40,13,6,20,1,,4,5,24,0.1962,0.5184,0.0253,0.1519,0.1583,3.2354,0.1503,0.2285,0.2839,0.319,$99.53,$99.53,$90.00,$90.00,$120.00,$120.00,4,2,10
3012092,0,3,1,0,0,0,90,9,9,9,8,10,9,3,1,0,3,Apartment,2,1,1,1,,40,1,0,70,9,1.24,1000,4,248,66,30,17,10,1,1,5,12,3,34,0.1288,0.3268,0.236,0.3213,0.0871,2.9203,0.1517,0.4676,0.4287,0.0871,$96.00,$96.00,$96.00,$96.00,$96.00,$96.00,4,2,10
